from,to,prob,spc,forward_from_sources,backward_to_sinks
"('推出', '知识重构类')","('发表', '成果发布类')",0.5,16,2,8
"('根据', '资源获取类')","('计算', '知识重构类')",0.2857142857142857,15,5,3
"('查阅', '知识整合类')","('决定', '知识规划类')",0.3333333333333333,14,2,7
"('获取', '资源获取类')","('决定', '知识规划类')",0.3333333333333333,14,2,7
"('安排', '知识协作类')","('落实', '知识重构类')",1.0,12,12,1
"('理清', '知识整合类')","('研究', '知识整合类')",1.0,12,1,12
"('组装', '成果发布类')","('具有', '成果影响类')",1.0,12,12,1
"('绘制', '知识重构类')","('安排', '知识协作类')",0.5,12,12,1
"('列举', '知识重构类')","('比较', '知识重构类')",1.0,12,1,12
"('分析', '知识整合类')","('理清', '知识整合类')",1.0,12,1,12
"('研究', '知识整合类')","('探索', '知识重构类')",1.0,12,1,12
"('落实', '知识重构类')","('组装', '成果发布类')",1.0,12,12,1
"('添加', '成果发布类')","('提供', '成果发布类')",1.0,9,1,9
"('推出', '成果发布类')","('提供', '成果发布类')",1.0,9,1,9
"('通过', '成果发布类')","('推出', '成果发布类')",1.0,9,1,9
"('组成', '成果发布类')","('检验', '知识重构类')",1.0,9,1,9
"('组织', '知识协作类')","('讨论', '知识协作类')",0.1428571428571428,8,4,2
"('帮助', '资源获取类')","('发表', '成果发布类')",1.0,8,1,8
"('修订', '知识重构类')","('发表', '成果发布类')",1.0,8,1,8
"('投稿', '成果发布类')","('发表', '成果发布类')",1.0,8,1,8
"('参加', '知识协作类')","('发表', '成果发布类')",0.25,8,1,8
"('引用', '成果影响类')","('起到', '成果影响类')",1.0,8,1,8
"('起到', '成果影响类')","('发表', '成果发布类')",1.0,8,1,8
"('相符', '知识重构类')","('决定', '知识规划类')",1.0,7,1,7
"('批准', '知识规划类')","('决定', '知识规划类')",0.5,7,1,7
"('检验', '知识重构类')","('决定', '知识规划类')",0.5,7,1,7
"('介绍', '知识协作类')","('决定', '知识规划类')",1.0,7,1,7
"('认可', '知识协作类')","('决定', '知识规划类')",1.0,7,1,7
"('关注', '知识规划类')","('转化', '知识重构类')",1.0,7,1,7
"('选择', '知识规划类')","('提出', '知识重构类')",0.2,7,1,7
"('选择', '知识规划类')","('关注', '知识规划类')",0.2,7,1,7
"('整理', '知识整合类')","('计算', '知识重构类')",0.25,6,2,3
"('处理', '知识重构类')","('研究', '知识重构类')",0.3333333333333333,6,6,1
"('采用', '知识重构类')","('计算', '知识重构类')",0.2,6,2,3
"('要求', '知识规划类')","('提出', '知识协作类')",0.5,4,1,4
"('转化', '知识重构类')","('理清', '知识重构类')",0.5,4,1,4
"('提出', '知识协作类')","('说明', '知识协作类')",1.0,4,1,4
"('制定', '知识规划类')","('讨论', '知识协作类')",0.5,4,2,2
"('结合', '资源获取类')","('计算', '知识重构类')",0.5,3,1,3
"('勾画', '知识重构类')","('建立', '知识重构类')",1.0,3,1,3
"('安排', '知识规划类')","('研究', '知识重构类')",0.5,3,3,1
"('抽象', '知识重构类')","('计算', '知识重构类')",1.0,3,1,3
"('根据', '知识整合类')","('计算', '知识重构类')",1.0,3,1,3
"('检查', '知识整合类')","('计算', '知识重构类')",1.0,3,1,3
"('理清', '知识重构类')","('计算', '知识重构类')",0.5,3,1,3
"('选择', '知识重构类')","('计算', '知识重构类')",0.3333333333333333,3,1,3
"('转化', '知识重构类')","('计算', '知识重构类')",0.5,3,1,3
"('组织', '知识规划类')","('计算', '知识重构类')",1.0,3,1,3
"('听取', '知识协作类')","('讨论', '知识协作类')",0.5,2,1,2
"('说明', '知识协作类')","('讨论', '知识协作类')",0.5,2,1,2
"('考察', '资源获取类')","('讨论', '知识协作类')",0.5,2,1,2
"('说明', '知识协作类')","('吸引', '成果影响类')",0.5,2,1,2
"('吸引', '成果影响类')","('旁听', '知识协作类')",1.0,2,1,2
"('采用', '知识重构类')","('解决', '知识重构类')",0.2,2,2,1
"('整理', '知识整合类')","('研究', '知识重构类')",0.25,2,2,1
"('提供', '成果发布类')","('认识', '成果影响类')",0.5,2,2,1
"('查阅', '知识整合类')","('发现', '知识整合类')",0.3333333333333333,2,2,1
"('召开', '知识协作类')","('研究', '知识重构类')",0.3333333333333333,2,2,1
"('参加', '知识重构类')","('解决', '知识重构类')",0.3333333333333333,2,2,1
"('怀疑', '知识重构类')","('产生', '知识规划类')",0.5,2,2,1
"('观测', '知识重构类')","('讨论', '知识协作类')",0.5,2,1,2
"('深入', '知识重构类')","('讨论', '知识协作类')",1.0,2,1,2
"('检验', '知识重构类')","('称作', '成果影响类')",0.5,2,1,2
"('察觉', '知识重构类')","('汇报', '知识协作类')",0.3333333333333333,2,2,1
"('旁听', '知识协作类')","('讨论', '知识协作类')",1.0,2,1,2
"('发现', '知识整合类')","('研究', '知识重构类')",1.0,2,2,1
"('帮助', '知识协作类')","('讨论', '知识协作类')",0.3333333333333333,2,1,2
"('产生', '知识规划类')","('研究', '知识重构类')",1.0,2,2,1
"('担任', '知识协作类')","('撰写', '知识整合类')",1.0,1,1,1
"('具有', '知识整合类')","('研究', '知识重构类')",1.0,1,1,1
"('检查', '知识重构类')","('判断', '知识重构类')",0.5,1,1,1
"('应邀', '知识协作类')","('讲课', '知识协作类')",1.0,1,1,1
"('选择', '知识规划类')","('汇报', '知识协作类')",0.2,1,1,1
"('参加', '知识整合类')","('具有', '知识整合类')",1.0,1,1,1
"('来到', '知识规划类')","('汇报', '知识协作类')",0.3333333333333333,1,1,1
"('评为', '成果影响类')","('成为', '成果影响类')",0.5,1,1,1
"('撰写', '知识整合类')","('讲课', '知识协作类')",1.0,1,1,1
"('理清', '知识重构类')","('解决', '知识重构类')",0.5,1,1,1
"('推荐', '知识重构类')","('研究', '知识重构类')",1.0,1,1,1
"('假设', '知识重构类')","('研究', '知识重构类')",1.0,1,1,1
