from,to,prob,spc,forward_from_sources,backward_to_sinks
"('设计', '知识重构类')","('试验', '知识重构类')",0.3333333333333333,4410,10,441
"('提出', '知识重构类')","('计算', '知识重构类')",0.2,4284,1428,3
"('探索', '知识重构类')","('比较', '知识重构类')",0.1428571428571428,4212,351,12
"('提供', '资源获取类')","('证明', '成果影响类')",0.25,4176,16,261
"('获取', '成果影响类')","('总结', '知识整合类')",0.5,4136,88,47
"('获取', '知识重构类')","('发现', '知识重构类')",0.07142857142857142,4130,59,70
"('测量', '知识重构类')","('观察', '知识重构类')",0.125,4063,239,17
"('采用', '资源获取类')","('说明', '知识重构类')",0.04545454545454546,3908,977,4
"('反对', '成果影响类')","('找到', '知识协作类')",1.0,3590,1,3590
"('找到', '知识协作类')","('听取', '知识协作类')",1.0,3590,1,3590
"('察觉', '知识规划类')","('查阅', '知识整合类')",0.5,3588,1,3588
"('听取', '知识协作类')","('查阅', '知识整合类')",0.5,3588,1,3588
"('绘制', '知识重构类')","('获取', '知识重构类')",0.5,3552,12,296
"('决定', '知识规划类')","('计算', '知识重构类')",0.08333333333333333,3537,1179,3
"('决定', '知识规划类')","('研制', '知识重构类')",0.1666666666666667,3537,1179,3
"('带领', '知识协作类')","('采用', '资源获取类')",0.09090909090909091,3468,102,34
"('引起', '成果影响类')","('推动', '成果影响类')",0.1666666666666667,3422,3422,1
"('公认', '成果影响类')","('成为', '成果影响类')",1.0,3422,3422,1
"('发表', '成果发布类')","('成为', '成果影响类')",0.05263157894736842,3422,3422,1
"('发表', '成果发布类')","('发表', '成果影响类')",0.05263157894736842,3422,3422,1
"('发表', '成果发布类')","('公认', '成果影响类')",0.05263157894736842,3422,3422,1
"('发表', '成果影响类')","('了解', '成果影响类')",1.0,3422,3422,1
"('引起', '成果影响类')","('索求', '成果影响类')",0.1666666666666667,3422,3422,1
"('引起', '成果影响类')","('指出', '成果影响类')",0.1666666666666667,3422,3422,1
"('明确', '知识规划类')","('控制', '知识重构类')",0.5,3404,1,3404
"('完成', '知识重构类')","('控制', '知识重构类')",1.0,3404,1,3404
"('指导', '知识协作类')","('带领', '知识协作类')",0.1111111111111111,3180,15,212
"('指导', '知识协作类')","('估计', '知识重构类')",0.1111111111111111,3165,15,211
"('结合', '资源获取类')","('提出', '知识规划类')",0.5,3157,1,3157
"('组织', '知识协作类')","('建立', '知识规划类')",0.2857142857142857,2988,4,747
"('设计', '知识重构类')","('绘制', '知识重构类')",0.1666666666666667,2970,10,297
"('采用', '资源获取类')","('研制', '知识重构类')",0.04545454545454546,2931,977,3
"('采用', '资源获取类')","('计算', '知识重构类')",0.1363636363636364,2931,977,3
"('测量', '知识重构类')","('证明', '知识重构类')",0.125,2868,239,12
"('获取', '知识重构类')","('研制', '成果发布类')",0.07142857142857142,2832,59,48
"('根据', '资源获取类')","('指出', '知识重构类')",0.1428571428571428,2800,5,560
"('说明', '知识重构类')","('汇报', '知识协作类')",0.2,2686,2686,1
"('指出', '知识重构类')","('提出', '成果发布类')",0.3333333333333333,2625,5,525
"('试验', '知识重构类')","('发现', '知识重构类')",0.06666666666666667,2590,37,70
"('提出', '成果发布类')","('开辟', '成果影响类')",0.2,2541,33,77
"('证明', '成果影响类')","('获取', '成果影响类')",0.25,2496,52,48
"('发现', '知识重构类')","('证明', '知识重构类')",0.05882352941176471,2400,200,12
"('分析', '知识重构类')","('探索', '知识重构类')",0.1052631578947368,2316,193,12
"('分析', '知识重构类')","('比较', '知识重构类')",0.05263157894736842,2316,193,12
"('培养', '知识规划类')","('建立', '知识规划类')",1.0,2241,3,747
"('奠定', '成果影响类')","('培养', '知识规划类')",0.5,2241,3,747
"('证明', '知识重构类')","('讨论', '知识协作类')",0.1111111111111111,2186,1093,2
"('证明', '知识重构类')","('称作', '成果影响类')",0.1111111111111111,2186,1093,2
"('获取', '知识重构类')","('认为', '知识重构类')",0.07142857142857142,2183,59,37
"('建议', '知识规划类')","('分析', '知识重构类')",0.2,2034,18,113
"('获取', '知识重构类')","('采用', '资源获取类')",0.1428571428571428,2006,59,34
"('积累', '知识整合类')","('推动', '知识重构类')",1.0,1943,1,1943
"('发现', '知识重构类')","('撰写', '成果发布类')",0.05882352941176471,1800,200,9
"('获取', '成果发布类')","('研制', '成果发布类')",0.25,1776,37,48
"('组织', '知识协作类')","('试验', '知识重构类')",0.1428571428571428,1764,4,441
"('估计', '知识重构类')","('分析', '知识重构类')",0.25,1695,15,113
"('开辟', '成果影响类')","('获取', '成果影响类')",0.3333333333333333,1632,34,48
"('发现', '知识重构类')","('发表', '成果发布类')",0.1176470588235294,1600,200,8
"('制定', '知识规划类')","('奠定', '成果影响类')",0.5,1590,2,795
"('撰写', '成果发布类')","('讲课', '知识协作类')",0.2,1580,1580,1
"('总结', '知识整合类')","('发表', '成果发布类')",0.3333333333333333,1496,187,8
"('估计', '知识重构类')","('考虑', '知识重构类')",0.25,1470,15,98
"('试验', '知识重构类')","('改进', '知识重构类')",0.06666666666666667,1443,37,39
"('研读', '知识整合类')","('探索', '知识重构类')",0.3333333333333333,1440,120,12
"('推动', '知识重构类')","('配备', '资源获取类')",0.5,1431,1,1431
"('分析', '知识重构类')","('提出', '知识重构类')",0.05263157894736842,1351,193,7
"('分析', '知识重构类')","('决定', '知识规划类')",0.05263157894736842,1351,193,7
"('考虑', '知识重构类')","('磨制', '知识重构类')",0.125,1292,76,17
"('磨制', '知识重构类')","('观察', '知识重构类')",0.3333333333333333,1292,76,17
"('确定', '知识规划类')","('发现', '知识重构类')",0.1666666666666667,1260,18,70
"('改进', '知识重构类')","('计算', '知识重构类')",0.1666666666666667,1257,419,3
"('带领', '知识协作类')","('证明', '知识重构类')",0.09090909090909091,1224,102,12
"('接受', '知识协作类')","('提供', '资源获取类')",1.0,1208,1,1208
"('批准', '知识规划类')","('推动', '资源获取类')",0.5,1197,1,1197
"('推动', '资源获取类')","('启动', '知识规划类')",1.0,1197,1,1197
"('担任', '知识规划类')","('组织', '知识协作类')",0.25,1197,1,1197
"('顶住', '知识重构类')","('组织', '知识协作类')",1.0,1197,1,1197
"('注重', '知识规划类')","('加强', '知识协作类')",1.0,1197,1,1197
"('启动', '知识规划类')","('面对', '知识重构类')",1.0,1197,1,1197
"('制定', '知识重构类')","('组织', '知识协作类')",1.0,1197,1,1197
