from,to,prob,pagerank_from,spc_original,spc_weighted,forward_from_sources,backward_to_sinks
"('发现', '知识整合类')","('研究', '知识重构类')",1.0,0.002336426849643942,1,0.002336426849643942,1,1
"('结合', '知识重构类')","('观察', '知识重构类')",1.0,0.002269988669877577,1,0.002269988669877577,1,1
"('研究', '知识规划类')","('分成', '知识规划类')",1.0,0.002196257486436248,1,0.002196257486436248,1,1
"('开发', '知识重构类')","('观察', '知识重构类')",1.0,0.002192395257858252,1,0.002192395257858252,1,1
"('测验', '知识重构类')","('添加', '知识重构类')",0.5,0.004369730529919798,1,0.002184865264959899,1,1
"('推荐', '知识重构类')","('研究', '知识重构类')",1.0,0.002038715141268662,1,0.002038715141268662,1,1
"('磨制', '知识重构类')","('观察', '知识重构类')",1.0,0.002009916333994513,1,0.002009916333994513,1,1
"('建议', '知识规划类')","('研究', '知识重构类')",1.0,0.001923203035391942,1,0.001923203035391942,1,1
"('查阅', '知识整合类')","('发现', '知识整合类')",1.0,0.001784417315860118,1,0.001784417315860118,1,1
"('介绍', '知识协作类')","('决定', '知识规划类')",1.0,0.0008196721311475411,2,0.0016393442622950822,1,2
"('准备', '知识规划类')","('观察', '知识重构类')",1.0,0.001516393442622951,1,0.001516393442622951,1,1
"('明确', '知识规划类')","('考虑', '知识重构类')",0.5,0.002999581148513023,1,0.0014997905742565115,1,1
"('察觉', '知识规划类')","('查阅', '知识整合类')",0.5,0.002269988669877577,1,0.0011349943349387886,1,1
"('选择', '知识规划类')","('提出', '知识重构类')",0.25,0.004194800312924486,1,0.0010487000782311215,1,1
"('了解', '知识整合类')","('准备', '知识规划类')",1.0,0.0008196721311475411,1,0.0008196721311475411,1,1
