from,to,prob,pagerank_from,spc_original,spc_weighted,forward_from_sources,backward_to_sinks
"('提高', '知识重构类')","('引起', '知识重构类')",0.3333333333333333,0.003599090491212483,6382,7.656465171639355,2,3191
"('组织', '知识协作类')","('建立', '知识规划类')",0.2857142857142857,0.00890905165319292,2988,7.605784668497269,4,747
"('指导', '知识协作类')","('试验', '知识重构类')",0.1111111111111111,0.01030883317584295,6615,7.576992384244568,15,441
"('证明', '知识重构类')","('提出', '知识重构类')",0.1111111111111111,0.008884517564084184,7651,7.552827098089788,1093,7
"('获取', '知识重构类')","('考虑', '知识重构类')",0.07142857142857142,0.01763390578472379,5782,7.282803089090926,59,98
"('决定', '知识规划类')","('研制', '知识重构类')",0.1666666666666667,0.01188172752891758,3537,7.004278378296915,1179,3
"('反对', '成果影响类')","('找到', '知识协作类')",1.0,0.001947529650362795,3590,6.991631444802434,1,3590
"('考察', '知识整合类')","('推出', '知识重构类')",1.0,0.001453579901768383,4618,6.712631986366393,1,4618
"('公认', '成果影响类')","('成为', '成果影响类')",1.0,0.001947529650362795,3422,6.664446463541484,3422,1
"('发表', '成果影响类')","('了解', '成果影响类')",1.0,0.001947529650362795,3422,6.664446463541484,3422,1
"('表明', '知识重构类')","('分析', '知识重构类')",0.1666666666666667,0.007739830391703697,4972,6.413739451258466,44,113
"('分析', '知识重构类')","('改进', '知识重构类')",0.05263157894736842,0.01615408579391875,7527,6.399568619517179,193,39
"('发现', '知识重构类')","('测量', '知识重构类')",0.05882352941176471,0.01850792364471343,5800,6.314468067019877,200,29
"('听取', '知识协作类')","('查阅', '知识整合类')",0.5,0.003420146540725784,3588,6.135742894062056,1,3588
"('提出', '知识规划类')","('提供', '资源获取类')",0.25,0.003960515814815642,6040,5.98037888037162,5,1208
"('培养', '知识规划类')","('建立', '知识规划类')",1.0,0.002634446706813657,2241,5.903795069969405,3,747
"('提出', '知识重构类')","('说明', '知识重构类')",0.1,0.009776325435966788,5712,5.58423708902423,1428,4
"('分析', '知识重构类')","('采用', '资源获取类')",0.05263157894736842,0.01615408579391875,6562,5.579111104194464,193,34
"('建立', '知识规划类')","('带领', '知识协作类')",0.1428571428571428,0.006792978240566972,5724,5.554715349857904,27,212
"('学习', '知识整合类')","('研读', '知识整合类')",0.25,0.00429437782999905,5145,5.523643483836278,105,49
"('测量', '知识重构类')","('观察', '知识重构类')",0.125,0.01061118959171187,4063,5.389157913890666,239,17
"('发表', '成果发布类')","('公认', '成果影响类')",0.05263157894736842,0.0294725748032284,3422,5.308165840876188,3422,1
"('发表', '成果发布类')","('成为', '成果影响类')",0.05263157894736842,0.0294725748032284,3422,5.308165840876188,3422,1
"('发表', '成果发布类')","('发表', '成果影响类')",0.05263157894736842,0.0294725748032284,3422,5.308165840876188,3422,1
"('奠定', '成果影响类')","('培养', '知识规划类')",0.5,0.004662863497457951,2241,5.224738548901635,3,747
"('获取', '知识重构类')","('发现', '知识重构类')",0.07142857142857142,0.01763390578472379,4130,5.2020022064935185,59,70
"('完成', '知识重构类')","('控制', '知识重构类')",1.0,0.001522703349258224,3404,5.183282200874994,1,3404
"('研读', '知识整合类')","('认为', '知识重构类')",0.3333333333333333,0.003417335880833446,4440,5.0576571036335,120,37
"('获取', '知识重构类')","('采用', '资源获取类')",0.1428571428571428,0.01763390578472379,2006,5.053373572022273,59,34
"('考虑', '知识重构类')","('发现', '知识重构类')",0.125,0.007566995391472727,5320,5.032051935329363,76,70
"('绘制', '知识重构类')","('获取', '知识重构类')",0.5,0.002818699678638642,3552,5.006010629262228,12,296
"('引起', '成果影响类')","('指出', '成果影响类')",0.1666666666666667,0.008775766338533551,3422,5.005112068410304,3422,1
"('引起', '成果影响类')","('索求', '成果影响类')",0.1666666666666667,0.008775766338533551,3422,5.005112068410304,3422,1
"('引起', '成果影响类')","('推动', '成果影响类')",0.1666666666666667,0.008775766338533551,3422,5.005112068410304,3422,1
"('探索', '知识重构类')","('比较', '知识重构类')",0.1428571428571428,0.008246929145497501,4212,4.962295080119352,351,12
"('提供', '资源获取类')","('证明', '成果影响类')",0.25,0.004657430347522203,4176,4.862357282813179,16,261
"('证明', '成果影响类')","('获取', '成果影响类')",0.25,0.007710854366469963,2496,4.811573124677257,52,48
"('带领', '知识协作类')","('学习', '知识整合类')",0.09090909090909091,0.01055336866780047,4998,4.795066963787886,102,49
"('提供', '知识重构类')","('指导', '知识协作类')",0.25,0.004150889574701989,4595,4.76833439893891,5,919
"('根据', '资源获取类')","('指导', '知识协作类')",0.1428571428571428,0.006838384928988092,4595,4.488911249814324,5,919
"('采用', '资源获取类')","('说明', '知识重构类')",0.04545454545454546,0.02441567013389126,3908,4.337110858329412,977,4
"('明确', '知识规划类')","('控制', '知识重构类')",0.5,0.002320879476461843,3404,3.950136868938057,1,3404
"('分析', '知识重构类')","('探索', '知识重构类')",0.1052631578947368,0.01615408579391875,2316,3.938196073549032,193,12
"('测量', '知识重构类')","('证明', '知识重构类')",0.125,0.01061118959171187,2868,3.8041114686287054,239,12
"('指导', '知识协作类')","('带领', '知识协作类')",0.1111111111111111,0.01030883317584295,3180,3.642454388797842,15,212
"('指导', '知识协作类')","('估计', '知识重构类')",0.1111111111111111,0.01030883317584295,3165,3.625273000171437,15,211
"('结合', '资源获取类')","('提出', '知识规划类')",0.5,0.002270078192355365,3157,3.583318426632944,1,3157
"('获取', '知识重构类')","('研制', '成果发布类')",0.07142857142857142,0.01763390578472379,2832,3.567087227309841,59,48
"('决定', '知识规划类')","('计算', '知识重构类')",0.08333333333333333,0.01188172752891758,3537,3.5021391891484566,1179,3
"('总结', '知识整合类')","('发表', '成果发布类')",0.3333333333333333,0.006992887725374415,1496,3.487120012386708,187,8
"('发现', '知识重构类')","('发表', '成果发布类')",0.1176470588235294,0.01850792364471343,1600,3.4838444507695865,200,8
"('提出', '成果发布类')","('开辟', '成果影响类')",0.2,0.006582023508916227,2541,3.344984347231227,33,77
"('带领', '知识协作类')","('采用', '资源获取类')",0.09090909090909091,0.01055336866780047,3468,3.3271893218120026,102,34
"('积累', '知识整合类')","('推动', '知识重构类')",1.0,0.001690787881852084,1943,3.285200854438599,1,1943
"('采用', '资源获取类')","('研制', '知识重构类')",0.04545454545454546,0.02441567013389126,2931,3.2528331437470586,977,3
"('制定', '知识规划类')","('奠定', '成果影响类')",0.5,0.004043589228970953,1590,3.2146534370319073,2,795
"('顶住', '知识重构类')","('组织', '知识协作类')",1.0,0.002631986301458703,1197,3.1504876028460673,1,1197
"('试验', '知识重构类')","('发现', '知识重构类')",0.06666666666666667,0.01774722037975357,2590,3.064353385570783,37,70
"('设计', '知识重构类')","('绘制', '知识重构类')",0.1666666666666667,0.006148954480747369,2970,3.0437324679699485,10,297
"('指出', '知识重构类')","('提出', '成果发布类')",0.3333333333333333,0.003470385289118555,2625,3.036587127978735,5,525
"('说明', '知识重构类')","('汇报', '知识协作类')",0.2,0.005555419933709563,2686,2.984371588388777,2686,1
"('获取', '成果发布类')","('研制', '成果发布类')",0.25,0.006642188386889503,1776,2.9491316437789394,37,48
"('察觉', '知识规划类')","('查阅', '知识整合类')",0.5,0.00162051917911774,3588,2.9072114073372255,1,3588
"('面对', '知识重构类')","('顶住', '知识重构类')",1.0,0.002328637085490249,1197,2.7873785913318283,1,1197
"('提供', '成果影响类')","('制定', '知识规划类')",1.0,0.003494617528927942,797,2.78521017055557,1,797
"('获取', '知识重构类')","('认为', '知识重构类')",0.07142857142857142,0.01763390578472379,2183,2.749629737718003,59,37
"('根据', '资源获取类')","('指出', '知识重构类')",0.1428571428571428,0.006838384928988092,2800,2.7353539715952353,5,560
"('发现', '知识重构类')","('证明', '知识重构类')",0.05882352941176471,0.01850792364471343,2400,2.6128833380771903,200,12
"('负责', '知识规划类')","('察觉', '知识重构类')",0.3333333333333333,0.001426523994016771,5071,2.4113010578863485,1,5071
"('启动', '知识规划类')","('面对', '知识重构类')",1.0,0.001984073942734154,1197,2.3749365094527826,1,1197
"('开辟', '成果影响类')","('获取', '成果影响类')",0.3333333333333333,0.00432759011694866,1632,2.354209023620071,34,48
"('加强', '知识协作类')","('组织', '知识协作类')",1.0,0.001926289212667712,1197,2.305768187563251,1,1197
"('组织', '知识协作类')","('试验', '知识重构类')",0.1428571428571428,0.00890905165319292,1764,2.2450810166046145,4,441
"('推动', '知识重构类')","('配备', '资源获取类')",0.5,0.003109068437948082,1431,2.2245384673518527,1,1431
"('负责', '知识规划类')","('根据', '资源获取类')",0.3333333333333333,0.001426523994016771,4610,2.1920918708057715,1,4610
"('证明', '知识重构类')","('称作', '成果影响类')",0.1111111111111111,0.008884517564084184,2186,2.157950599454225,1093,2
"('证明', '知识重构类')","('讨论', '知识协作类')",0.1111111111111111,0.008884517564084184,2186,2.157950599454225,1093,2
"('分析', '知识重构类')","('比较', '知识重构类')",0.05263157894736842,0.01615408579391875,2316,1.9690980367745168,193,12
"('发现', '知识重构类')","('撰写', '成果发布类')",0.05882352941176471,0.01850792364471343,1800,1.9596625035578927,200,9
"('激发', '知识重构类')","('采用', '知识重构类')",1.0,0.002095443769569105,918,1.9236173804644383,2,459
"('推动', '资源获取类')","('启动', '知识规划类')",1.0,0.001592697457787667,1197,1.9064588569718375,1,1197
"('委托', '知识协作类')","('测验', '知识重构类')",1.0,0.001937998339266478,981,1.901176370820415,1,981
"('注重', '知识规划类')","('加强', '知识协作类')",1.0,0.001527061924991739,1197,1.8278931242151115,1,1197
"('掌握', '知识重构类')","('提供', '成果影响类')",1.0,0.002279018109830945,797,1.8163774335352632,1,797
"('获取', '知识重构类')","('发表', '成果发布类')",0.2142857142857143,0.01763390578472379,472,1.783543613654921,59,8
"('撰写', '成果发布类')","('讲课', '知识协作类')",0.2,0.005503276494485064,1580,1.7390353722572802,1580,1
"('制定', '知识重构类')","('组织', '知识协作类')",1.0,0.001442578212750519,1197,1.7267661206623712,1,1197
"('试验', '知识重构类')","('改进', '知识重构类')",0.06666666666666667,0.01774722037975357,1443,1.7072826005322934,37,39
"('奠定', '知识重构类')","('指导', '知识协作类')",1.0,0.001851910772506413,919,1.7019059999333936,1,919
"('改进', '知识重构类')","('计算', '知识重构类')",0.1666666666666667,0.008115793960404283,1257,1.7002588347046979,419,3
"('接受', '知识协作类')","('提供', '资源获取类')",1.0,0.001398367391736076,1208,1.68922780921718,1,1208
"('估计', '知识重构类')","('分析', '知识重构类')",0.25,0.003920076039531051,1695,1.661132221751283,15,113
"('建议', '知识规划类')","('分析', '知识重构类')",0.2,0.004051015472606175,2034,1.6479530942561924,18,113
"('研读', '知识整合类')","('探索', '知识重构类')",0.3333333333333333,0.003417335880833446,1440,1.640321222800054,120,12
"('复习', '知识整合类')","('指导', '知识协作类')",1.0,0.001761564977732576,919,1.6188782145362375,1,919
"('辩论', '知识协作类')","('激发', '知识重构类')",1.0,0.001719198307591777,918,1.5782240463692514,2,459
"('达到', '知识协作类')","('确定', '知识规划类')",1.0,0.001652382744110963,940,1.5532397794643051,1,940
"('参加', '知识重构类')","('试验', '知识重构类')",0.3333333333333333,0.005243493019530914,882,1.541586947742089,2,441
"('添加', '知识整合类')","('帮助', '知识协作类')",1.0,0.00160158797034321,960,1.5375244515294817,1,960
"('确定', '知识规划类')","('发现', '知识重构类')",0.1666666666666667,0.007266832669061547,1260,1.5260348605029253,18,70
"('出现', '知识重构类')","('委托', '知识协作类')",1.0,0.001540361886140312,981,1.511095010303646,1,981
"('达到', '成果影响类')","('安排', '知识规划类')",1.0,0.003546876793967722,426,1.5109695142302495,2,213
"('试验', '知识重构类')","('观察', '知识重构类')",0.1333333333333333,0.01774722037975357,629,1.4884002158486658,37,17
"('前往', '知识重构类')","('参加', '知识重构类')",1.0,0.002876124628866102,512,1.4725758099794442,1,512
"('配备', '资源获取类')","('指导', '知识协作类')",0.5,0.003198125954080833,919,1.4695388759001429,1,919
"('估计', '知识重构类')","('考虑', '知识重构类')",0.25,0.003920076039531051,1470,1.4406279445276613,15,98
"('开辟', '成果影响类')","('测量', '知识重构类')",0.3333333333333333,0.00432759011694866,986,1.4223346184371262,34,29
"('磨制', '知识重构类')","('观察', '知识重构类')",0.3333333333333333,0.003284941546403946,1292,1.4147148259846327,76,17
"('批准', '知识规划类')","('推动', '资源获取类')",0.5,0.002296294844977636,1197,1.374332464719115,1,1197
"('派出', '知识协作类')","('前往', '知识重构类')",1.0,0.002605944730847089,512,1.3342437021937095,1,512
"('填补', '成果影响类')","('奠定', '知识重构类')",1.0,0.001442578212750519,919,1.325729377517727,1,919
"('察觉', '知识重构类')","('怀疑', '知识重构类')",0.3333333333333333,0.004270624293310653,920,1.309658116615267,2,460
"('支持', '成果影响类')","('参加', '知识协作类')",1.0,0.001690787881852084,772,1.3052882447898089,1,772
"('安排', '知识规划类')","('带领', '知识协作类')",0.5,0.004089597647837549,636,1.3004920520123404,3,212
"('采集', '资源获取类')","('奠定', '成果影响类')",1.0,0.001623511564646817,795,1.2906916938942194,1,795
"('继续', '知识重构类')","('获取', '知识重构类')",1.0,0.002115081079416607,592,1.2521279990146312,2,296
"('帮助', '知识协作类')","('复习', '知识整合类')",0.3333333333333333,0.004019873326822753,919,1.23142119578337,1,919
